upc (ean),price,OriginalPrice,availability,sku,title
0193553049173,25.5,85,2,1133432,Columbia Rain Scape Jacket - Boys' Black Foil L
0193553049227,25.5,85,1,1133433,Columbia Rain Scape Jacket - Boys' Black Foil XXS
0193553049197,25.5,85,3,1133435,Columbia Rain Scape Jacket - Boys' Black Foil S
0193553049180,25.5,85,0,1133436,Columbia Rain Scape Jacket - Boys' Black Foil M
0193553156741,25.5,85,3,1133462,Columbia Rain Scape Jacket - Girls' New Mint XS
0193553156727,25.5,85,2,1133463,Columbia Rain Scape Jacket - Girls' New Mint S
0193553156710,25.5,85,1,1133466,Columbia Rain Scape Jacket - Girls' New Mint M
0193553156703,25.5,85,2,1133467,Columbia Rain Scape Jacket - Girls' New Mint L
0193553156659,25.5,85,3,1133468,Columbia Rain Scape Jacket - Girls' Nocturnal M
0193553156642,25.5,85,1,1133469,Columbia Rain Scape Jacket - Girls' Nocturnal L
0193553156697,25.5,85,2,1133470,Columbia Rain Scape Jacket - Girls' Nocturnal XXS
0193553156680,25.5,85,4,1133471,Columbia Rain Scape Jacket - Girls' Nocturnal XS
0196013401917,28,40,1,1134679,The North Face Glacier Full-Zip Hoodie - Kids' Acoustic Blue 4T
0196013401818,28,40,3,1134681,The North Face Glacier Full-Zip Hoodie - Kids' Acoustic Blue 3T
0196013402310,28,40,4,1134682,The North Face Glacier Full-Zip Hoodie - Kids' Acoustic Blue 6T
0196249469880,28,40,2,1134683,The North Face Glacier Full-Zip Hoodie - Kids' Acoustic Blue 7T
0196013403539,19.99,40,1,1182081,The North Face Glacier Full-Zip Hoodie - Kids' Patina Green 6T
0193553130796,28.5,95,14,1133450,Columbia Evolution Valley Jacket - Youth Azul M
0193553130833,28.5,95,4,1133451,Columbia Evolution Valley Jacket - Youth Azul XXS
0193553130819,28.5,95,5,1133452,Columbia Evolution Valley Jacket - Youth Azul XL
0193553130826,28.5,95,8,1133453,Columbia Evolution Valley Jacket - Youth Azul XS
0193553130802,28.5,95,5,1133454,Columbia Evolution Valley Jacket - Youth Azul S
0193553130789,28.5,95,5,1133455,Columbia Evolution Valley Jacket - Youth Azul L
0193553130529,28.5,95,8,1133456,Columbia Evolution Valley Jacket - Youth Light Lichen XS
0193553130482,28.5,95,4,1133457,Columbia Evolution Valley Jacket - Youth Light Lichen L
0193553130536,28.5,95,4,1133458,Columbia Evolution Valley Jacket - Youth Light Lichen XXS
0193553130505,28.5,95,6,1133459,Columbia Evolution Valley Jacket - Youth Light Lichen S
0193553130512,28.5,95,5,1133460,Columbia Evolution Valley Jacket - Youth Light Lichen XL
0190893397124,18,60,1,1127037,Columbia Pixel Grabber II Jacket - Youth Cypress Campin L
0190893397148,18,60,1,1127039,Columbia Pixel Grabber II Jacket - Youth Cypress Campin S
0190893397599,18,60,1,1127043,Columbia Pixel Grabber II Jacket - Youth Punch Pink Print M
0193553008859,19.5,65,1,1133170,Columbia Dalby Springs Jacket - Youth Carnelian Red \u002F Shark L
0191454924513,27,90,2,1129463,Columbia  Magic Mile Jacket - Girls' Nocturnal Micro Geo Print 4T
0194895536246,31.5,105,1,1246515,Columbia Horizon Ride II Jacket - Toddler Shark \u002F Dark Coral \u002F White 2T
0194895536468,31.5,105,1,1246516,Columbia Horizon Ride II Jacket - Toddler Geyser Snowdaze 2T
0194895536383,31.5,105,1,1246518,Columbia Horizon Ride II Jacket - Toddler Wild Fuchsia Scraptanical 3T
0194895536321,31.5,105,2,1246519,Columbia Horizon Ride II Jacket - Toddler Black Paperflakes 4T
0194895536444,31.5,105,6,1246520,Columbia Horizon Ride II Jacket - Toddler Geyser Snowdaze 4T
0194895536406,31.5,105,5,1246521,Columbia Horizon Ride II Jacket - Toddler Wild Fuchsia Scraptanical 4T
0194895536451,31.5,105,6,1248022,Columbia Horizon Ride II Jacket - Toddler Geyser Snowdaze 3T
0194895536345,31.5,105,2,1257065,Columbia Horizon Ride II Jacket - Toddler Black Paperflakes 3T
0194895536338,31.5,105,2,1266393,Columbia Horizon Ride II Jacket - Toddler Black Paperflakes 2T
0194895536314,31.5,105,1,1266395,Columbia Horizon Ride II Jacket - Toddler Serenity Paperflakes \u002F Nocturnal 3T
0194895536307,31.5,105,1,1266396,Columbia Horizon Ride II Jacket - Toddler Serenity Paperflakes \u002F Nocturnal 4T
0194895309895,29.7,99,0,1246494,Columbia Mighty Mogul II Omni-Heat Infinity Insulated Jacket - Youth Nocturnal Aurelian S
0194895309857,29.7,99,2,1246496,Columbia Mighty Mogul II Omni-Heat Infinity Insulated Jacket - Youth Nocturnal Aurelian XL
0888458665374,56.25,75,1,1127644,Columbia Watertight Waterproof Walking Jacket - Boys' Black XS
0888458665398,56.25,75,7,1127645,Columbia Watertight Waterproof Walking Jacket - Boys' Black M
0888458665404,56.25,75,6,1127646,Columbia Watertight Waterproof Walking Jacket - Boys' Black L
0888458665381,56.25,75,2,1127647,Columbia Watertight Waterproof Walking Jacket - Boys' Black S
0888458665411,56.25,75,2,1127648,Columbia Watertight Waterproof Walking Jacket - Boys' Black XL
0193855474109,56.25,75,1,1127649,Columbia Watertight Waterproof Walking Jacket - Boys' Bright Indigo M
0193855474154,56.25,75,1,1127650,Columbia Watertight Waterproof Walking Jacket - Boys' Bright Indigo L
0193855474116,56.25,75,2,1127651,Columbia Watertight Waterproof Walking Jacket - Boys' Bright Indigo S
0193553164371,56.25,75,1,1127657,Columbia Watertight Waterproof Walking Jacket - Boys' Mountain Red L
0194894573266,22.5,75,0,1279983,Columbia Watertight Waterproof Walking Jacket - Boys' Red Quartz S
0194895182801,31.5,105,3,1132506,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Warm Copper M
0194895182788,31.5,105,0,1132507,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Warm Copper S
0194895182832,73.5,105,1,1132508,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Warm Copper XL
0194895182795,31.5,105,5,1132509,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Warm Copper XS
0194895182825,31.5,105,7,1132510,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Warm Copper XXS
0194895182818,31.5,105,2,1132511,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Warm Copper L
0192660007281,31.5,105,0,1132516,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Black M
0192660007304,31.5,105,0,1132517,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Black XL
0193855687707,31.5,105,0,1132518,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Bright Indigo S
0193855687714,31.5,105,0,1132519,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Bright Indigo L
0193855687684,31.5,105,1,1132520,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Bright Indigo XXS
0193855687721,31.5,105,0,1132521,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Bright Indigo M
0192660007250,31.5,105,0,1132524,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Collegiate Navy XS
0192660007243,73.5,105,1,1132527,Columbia Rugged Ridge Sherpa Lined Jacket - Boys' Collegiate Navy XL
0194895402541,36,120,0,1139862,Columbia Powder Lite Novelty Hooded Jacket - Boys' Warm Copper XS
0194895719373,31.5,105,1,1128482,Columbia Bella Plush Jacket - Girls' Black S
0194895719519,31.5,105,1,1128484,Columbia Bella Plush Jacket - Girls' Black XXS
0194895719557,31.5,105,0,1128489,Columbia Bella Plush Jacket - Girls' Marionberry XS
0194895719335,31.5,105,1,1128495,Columbia Bella Plush Jacket - Girls' Paisley Purple L
0194895719342,31.5,105,1,1128496,Columbia Bella Plush Jacket - Girls' Paisley Purple XS
0193855313750,39,130,0,1130450,Columbia Pike Lake Jacket - Youth Black S
0193855313576,39,130,0,1130451,Columbia Pike Lake Jacket - Youth Bright Indigo \u002F Collegiate Navy S
0193855313620,39,130,0,1130452,Columbia Pike Lake Jacket - Youth Bright Indigo \u002F Collegiate Navy M
0193855313965,39,130,0,1130464,Columbia Pike Lake Jacket - Youth Pink Orchid \u002F Bright Geranium XXS
0193855313934,39,130,4,1130466,Columbia Pike Lake Jacket - Youth Pink Orchid \u002F Bright Geranium M
0194895340928,33,110,1,1134151,Columbia Arctic Blast Jacket - Toddler Elderberry 3T
0193855618602,33,110,5,1134160,Columbia Arctic Blast Jacket - Toddler Mountain Red 2T
0193855618596,33,110,1,1134162,Columbia Arctic Blast Jacket - Toddler Mountain Red 3T
0194895340911,33,110,2,1246465,Columbia Arctic Blast Jacket - Toddler Shark \u002F City Grey 2T
0194895340904,33,110,5,1246466,Columbia Arctic Blast Jacket - Toddler Shark \u002F City Grey 4T
0194895340737,33,110,4,1246467,Columbia Arctic Blast Jacket - Toddler Collegiate Navy \u002F Bright Indigo 3T
0194895340720,33,110,6,1246468,Columbia Arctic Blast Jacket - Toddler Collegiate Navy \u002F Bright Indigo 4T
0194895340898,33,110,4,1247942,Columbia Arctic Blast Jacket - Toddler Shark \u002F City Grey 3T
0193553153986,18,60,0,1133500,Columbia Rocky Range Softshell - Boys' Black L
0193553154013,18,60,1,1133501,Columbia Rocky Range Softshell - Boys' Black XL
0193855288119,31.5,105,1,1127438,Columbia Katelyn Crest Jacket - Girls' Pale Lilac 4T
0194894545720,18,60,1,1138932,Columbia Glennaker Springs Jacket - Youth Nocturnal Flutter By \u002F Nocturnal M
0194894545706,18,60,3,1138933,Columbia Glennaker Springs Jacket - Youth Nocturnal Flutter By \u002F Nocturnal XXS
0194895645238,33,110,3,1139818,Columbia Lightning Lift II Jacket - Boys' City Grey White XXS
0194895643784,77,110,1,1139829,Columbia Lightning Lift II Jacket - Boys' Bright Indigo XS
0194895628286,33,110,2,1097612,Columbia Horizon Ride II Jacket - Girls' Shark \u002F Dark Coral M
0194895628323,33,110,2,1097613,Columbia Horizon Ride II Jacket - Girls' Shark \u002F Dark Coral L
0194895628330,33,110,0,1097614,Columbia Horizon Ride II Jacket - Girls' Shark \u002F Dark Coral XL
0194895628545,33,110,3,1097619,Columbia Horizon Ride II Jacket - Girls' Nocturnal L
0194895628668,33,110,9,1139844,Columbia Horizon Ride II Jacket - Girls' Black Snowdaze S
0194895628644,33,110,4,1139845,Columbia Horizon Ride II Jacket - Girls' Black Snowdaze L
0194895628675,33,110,3,1139846,Columbia Horizon Ride II Jacket - Girls' Black Snowdaze XL
0194895628651,33,110,7,1139847,Columbia Horizon Ride II Jacket - Girls' Black Snowdaze M
0194895628682,33,110,3,1139848,Columbia Horizon Ride II Jacket - Girls' Black Snowdaze XS
0194895628453,33,110,0,1139849,Columbia Horizon Ride II Jacket - Girls' Serenity Paper Flake XS
0194895628217,33,110,1,1139855,Columbia Horizon Ride II Jacket - Girls' Paisly Purple L
0194895628699,33,110,4,1246514,Columbia Horizon Ride II Jacket - Girls' 012BLKSNOWDAZE 2XS
0194895628583,33,110,1,1246777,Columbia Horizon Ride II Jacket - Girls' 665ILDFUCHSIA 2XS
0194895628613,33,110,1,1246780,Columbia Horizon Ride II Jacket - Girls' 665ILDFUCHSIA L
0194894393741,12,40,0,1127871,Columbia Zing III Fleece Jacket - Boys' Dark Mountain Wanderlandia 3T
0194895296300,31.5,105,1,1139838,Columbia Lightning Lift II Jacket - Boys' Black \u002F Ancient Fossil Scrapscape 3T
0194895296324,31.5,105,1,1139839,Columbia Lightning Lift II Jacket - Boys' Black \u002F Ancient Fossil Scrapscape 2T
0194895296225,31.5,105,1,1139841,Columbia Lightning Lift II Jacket - Boys' Bright Indigo \u002F Kaleidoscope 3T
0194895296218,31.5,105,1,1139842,Columbia Lightning Lift II Jacket - Boys' Bright Indigo \u002F Kaleidoscope 4T
0193855388673,28.5,95,1,1140375,Columbia Lightning Lift Insulated Jacket - Boys' Black \u002F City Grey XXS
0193855388666,28.5,95,0,1140377,Columbia Lightning Lift Insulated Jacket - Boys' Black \u002F City Grey S
0193855388642,28.5,95,0,1140379,Columbia Lightning Lift Insulated Jacket - Boys' Black \u002F City Grey M
0193855386938,28.5,95,0,1140385,Columbia Lightning Lift Insulated Jacket - Boys' Shark Brushed Camo Print S
0194895599197,39,130,2,1137710,Columbia Suttle Mountain Long Insulated Jacket - Girls' Marionberry L
